period,failures,equipment_downtime_h,cooling_service_availability_pct,degraded_redundancy_h,capacity_deficit_h,weighted_cop,paired_cop_observations,paired_cop_observation_pct,pue,pm_compliance_pct,om_cost_eur
baseline,13,121.75,99.945776255707762557000,66.75,4.75,2.8087159255036371,34744,99.1552511415525114,1.5510196960681814,72.222222222222222222000,425432.79
post,5,20.08,99.994307832422586521000,15.25,0.50,3.3607260321572763,34864,99.2258652094717668,1.4893530344481741,98.611111111111111111000,357924.84
